submission_id,nr_comments
10h73ne,1
10ur4qi,1
110e6lb,1
110exul,2
11ciznm,1
11guoft,4
1224vlp,1
12qjhxo,7
130a30d,1
133e88t,3
148ohb2,3
15gc8w,1
15hzrs,8
16z48qd,3
170rpt0,5
174w1rb,5
17713b6,1
17fksbo,1
17fm70c,1
17g3kz7,1
17gczar,1
17graoc,1
17hf5pk,12
17hg8nz,8
17ih6ut,1
17ijn7a,4
17jkvbo,2
17jwtnk,17
17kqvcs,3
17l0up2,1
17leehj,1
17mkwfg,1
17mot6d,2
17nefr3,5
17nq1uq,1
17nxjlp,2
17ogiz4,9
17ov2w5,1
17p3c1k,6
17pcbmz,1
17qkvnj,1
17r3wh2,1
17rii04,20
17sc664,1
17sgkvi,1
17trx8x,1
17tuj6e,7
17uz322,2
17vhoca,1
17viv3a,1
17wa1w3,1
17xf12s,1
17yx4oh,2
17zsn5f,14
17zt9ue,7
17zx333,1
17zxs6p,3
185y2zu,13
186w28q,1
188jij8,2
188ssij,13
188wvl6,1
1897mi2,5
18aznsy,2
18c2xho,1
18cdj8h,5
18cko43,2
18clvfu,15
18cmwc9,1
18e1qb7,11
18e7luj,1
18emaln,2
18h5ril,1
18inj0x,7
18j1anr,4
18jax9y,5
18lie71,1
18mglyy,29
18muig3,5
18mzx0k,4
18nmxbm,12
18p0gaj,1
18s2svi,1
18scepv,6
18slxc2,10
18sumxa,2
18sw6d9,3
18sx0fo,1
18t9bx8,1
18uqooc,4
18v7sh1,18
1g8i3k,1
572mp6,1
7ds7fd,2
7h44g7,3
8cd00s,1
8xzciy,1
9kjmp,4
9kkmu,3
9krxx,4
9rj3q3,2
aitvap,1
badjmc,1
d0vhbl,1
d64wq7,7
dhc4qz,2
io3ysw,1
iolljp,3
ip1aha,1
ir0eds,2
iu5xdl,5
iud3jf,8
ivtrk8,1
iw3ziy,4
iw52hj,1
iwctue,5
iwgkcy,7
ix0sv4,11
ixa91m,2
ixmsix,14
iy4ppx,4
iyb1y7,3
iyzl2h,1
iyzofj,5
j2gyd3,2
j3jcdt,8
j4prug,3
j5l9bt,3
j74p4n,2
j786s6,4
j7kzse,3
j8lse6,1
jacjae,2
jbn0c7,2
jbwwb8,2
jci11s,4
jcn49b,6
jd2zag,3
je4hq3,8
jebg1y,9
jgtrnz,4
jhpezf,2
jivgqx,8
jk3x60,4
jlfeox,4
jlhzec,4
jlwj3x,6
jn6pzz,2
jnyxv3,6
jom2oc,1
jq04h8,1
jq7gh1,1
jw7u99,2
jz6v56,3
k2i6i6,1
k2jfa8,1
k37831,2
k3bjmk,1
k3iixs,1
k41udm,5
k487vg,6
k4cg94,3
k4n6m1,6
k5hrm5,2
k5n270,1
k6efu6,1
k8gzac,1
k8kyjy,1
kao4ax,3
kdbqoe,1
kejbuk,2
kgg4x5,4
kmnp0z,2
kp3ux9,4
ktge4t,5
kvxnmf,4
kwe7dj,1
l0jtin,2
l1fzl0,2
l42k54,1
la6n0q,1
lbcz5k,5
lffl2e,1
lhrdr3,3
lliwsk,2
ln9c6w,1
lnigqx,1
lpa5yg,9
lq3283,3
lscuw1,6
lt9zxd,1
ltz941,1
lxcmi5,3
m4wusx,2
mad64l,1
md8cyk,1
me4pq9,1
menkj0,2
mf6zc7,7
mftn9l,1
mia6wo,3
mk8ygf,4
mkbf0t,2
mkyk4f,8
mlt3vd,1
msmq2g,4
mv0l7a,7
mvz5ap,6
mwz9wc,4
n037j0,1
n27qrj,1
n4l5z4,1
n7ckks,3
ngwiyz,1
nl2t7v,1
nr9kom,3
nu4p9c,1
o1m23g,3
obu1fh,3
ofq6o4,3
oogj60,3
otq7et,3
ozje0e,4
pazxob,10
pg23pf,4
plxrqa,4
ppqoxu,5
q3efn1,7
qadryj,2
qhs6jk,3
qhswql,6
qk48e3,3
qkq4q2,1
qktvm4,6
qp23k1,1
qwspza,1
r00r4z,7
r576ha,2
rddn04,4
repgwx,8
rhp8l4,2
riwjph,2
rlr4cg,2
rsjlsc,5
rv3wea,2
s3eazq,1
so3f7d,1
tprtqi,1
u08l7r,2
u7g5j1,1
u8lw6s,1
ulc1b2,1
uuslix,1
vsv6r9,1
vu0b13,5
wamzvu,3
wszcx5,1
xfa884,5
